epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,11873.2,0.97523,1.36129,0.78815,1.31989,0.82962,0.69788,0.76863,0.51982,0.86306,0.73271,0.8132,0.56009,0.97554,1.4086,0.98402,1.2744,0.000636762,0.000636762,0.000636762
30,12198,0.95128,1.30524,0.78295,1.32588,0.85893,0.68591,0.79866,0.55331,0.89643,0.7201,0.83333,0.56548,0.93691,1.3928,0.96773,1.26437,0.000608468,0.000608468,0.000608468
31,12521.8,0.93452,1.30839,0.76305,1.31495,0.80354,0.76717,0.795,0.54575,0.82832,0.7677,0.83012,0.55958,0.99133,1.40719,0.87618,1.27077,0.000580174,0.000580174,0.000580174
32,12845.4,0.9603,1.30253,0.76705,1.32383,0.7358,0.74389,0.79612,0.54466,0.76084,0.76844,0.81638,0.55785,0.94121,1.41891,0.9207,1.23655,0.00055188,0.00055188,0.00055188
33,13171.5,0.93024,1.27487,0.75294,1.30195,0.83747,0.76585,0.80355,0.53427,0.84381,0.77853,0.81494,0.55411,0.96032,1.42188,0.88155,1.26188,0.000523586,0.000523586,0.000523586
34,13627.5,0.91114,1.25406,0.73715,1.28967,0.78403,0.76628,0.79734,0.54987,0.8149,0.78303,0.81861,0.55844,0.95006,1.44951,0.91478,1.25024,0.000495291,0.000495291,0.000495291
35,14083.4,0.90207,1.2392,0.72633,1.27985,0.82653,0.77156,0.81918,0.56536,0.88235,0.77783,0.85244,0.57669,0.94433,1.37978,0.8686,1.22681,0.000466997,0.000466997,0.000466997
36,14552.9,0.88464,1.24106,0.71625,1.26915,0.84019,0.75849,0.81155,0.55387,0.8722,0.7777,0.84552,0.5721,0.93394,1.4316,0.84387,1.2592,0.000438703,0.000438703,0.000438703
37,15006.7,0.9003,1.23923,0.7082,1.27737,0.86481,0.75188,0.816,0.57529,0.91234,0.79161,0.85799,0.58915,0.8885,1.39012,0.84021,1.19283,0.000410409,0.000410409,0.000410409
38,15465,0.88209,1.22989,0.69873,1.26857,0.80127,0.77149,0.80445,0.55943,0.83965,0.79333,0.83491,0.56201,0.90528,1.35453,0.87771,1.21899,0.000382115,0.000382115,0.000382115
39,15921.3,0.89212,1.19392,0.70395,1.27027,0.83104,0.76165,0.82517,0.57211,0.88404,0.78648,0.8571,0.58688,0.91299,1.36742,0.8222,1.19871,0.00035382,0.00035382,0.00035382
40,16382,0.85836,1.2003,0.67709,1.25964,0.8508,0.78108,0.82793,0.57171,0.8804,0.78086,0.84391,0.58406,0.89942,1.44237,0.81296,1.21697,0.000325526,0.000325526,0.000325526
41,16822,0.85605,1.23783,0.71229,1.2824,0.88983,0.77687,0.83057,0.56878,0.91175,0.7891,0.8556,0.58287,0.91058,1.36577,0.79508,1.22037,0.000297232,0.000297232,0.000297232
42,17260.1,0.80946,1.17348,0.65565,1.23859,0.83912,0.80673,0.83703,0.58386,0.86698,0.82576,0.85499,0.59511,0.90403,1.38781,0.74883,1.19981,0.000268938,0.000268938,0.000268938
43,17695.9,0.78986,1.16465,0.62576,1.21908,0.87117,0.79346,0.84361,0.59877,0.89733,0.81684,0.87714,0.60556,0.87874,1.33267,0.74338,1.17715,0.000240644,0.000240644,0.000240644
44,18135.1,0.7725,1.11705,0.60806,1.20999,0.87318,0.7713,0.84042,0.60087,0.88936,0.78272,0.85914,0.60488,0.849,1.30522,0.71999,1.14271,0.000212349,0.000212349,0.000212349
45,18571.4,0.75876,1.12863,0.58635,1.20263,0.84782,0.81651,0.85091,0.60016,0.90324,0.79728,0.87148,0.60686,0.87575,1.34094,0.71934,1.1725,0.000184055,0.000184055,0.000184055
46,19009.3,0.75179,1.11586,0.59512,1.19427,0.85271,0.8257,0.84643,0.60095,0.88774,0.83587,0.87112,0.61139,0.85133,1.288,0.70442,1.1541,0.000155761,0.000155761,0.000155761
47,19449.8,0.72951,1.1113,0.57566,1.17843,0.87296,0.79947,0.85137,0.61559,0.93605,0.78311,0.86999,0.59853,0.83759,1.28496,0.69157,1.14587,0.000127467,0.000127467,0.000127467
48,19890.9,0.72419,1.07961,0.56954,1.17544,0.87243,0.82563,0.85434,0.61521,0.89705,0.81668,0.8651,0.61468,0.83625,1.29433,0.68675,1.14283,9.91726e-05,9.91726e-05,9.91726e-05
49,20335.1,0.71891,1.10146,0.56631,1.17786,0.86557,0.80269,0.84848,0.61004,0.8881,0.82116,0.87484,0.61636,0.84747,1.30059,0.6922,1.15028,7.08784e-05,7.08784e-05,7.08784e-05
50,20774.2,0.70174,1.06799,0.54997,1.16765,0.86527,0.84033,0.85763,0.62245,0.90688,0.81619,0.87,0.61602,0.82652,1.30716,0.68738,1.14503,4.25842e-05,4.25842e-05,4.25842e-05
